ST_CASE,SUMSPEEDREL,STATE,FATAL_COUNT_x,SUMMDRDSTRD,DAY_WEEK,HOUR,BODY_TYP
10001,0,1,1,99,5,2,31
10002,4,1,1,0,5,22,4
10003,0,1,1,0,5,1,4
10004,0,1,1,99,1,0,31
10005,0,1,1,99,4,7,3
10006,0,1,1,0,5,9,30
10007,0,1,1,0,5,18,30
10008,9,1,1,99,7,21,99
10009,0,1,1,99,3,8,31
10010,0,1,1,99,2,18,4
10011,0,1,1,0,4,20,4
10012,0,1,1,0,6,6,15
10013,3,1,1,99,7,10,4
10014,0,1,1,99,1,6,15
10015,3,1,1,99,1,8,31
10016,0,1,1,0,3,17,31
10017,0,1,1,0,4,14,4
10018,0,1,1,0,6,19,21
10019,3,1,1,99,2,1,14
10020,0,1,1,99,5,17,4
10021,0,1,1,92,6,13,31
10022,0,1,1,0,2,6,31
10023,3,1,1,0,2,21,15
10024,0,1,1,0,6,6,4
10025,3,1,2,0,5,3,4
10026,3,1,1,0,3,13,4
10027,0,1,1,99,7,14,5
10028,0,1,1,0,7,0,14
10029,4,1,1,0,6,5,31
10030,3,1,>2,0,7,13,31
10031,0,1,1,12,7,16,14
10032,3,1,1,99,1,6,1
10033,0,1,2,99,6,21,4
10034,0,1,1,99,5,14,31
10035,9,1,1,99,4,9,31
10036,0,1,2,0,2,14,15
10037,0,1,1,0,2,14,4
10038,0,1,1,99,3,16,90
10039,9,1,1,99,5,0,14
10040,0,1,1,15,3,15,4
10041,0,1,1,0,4,21,80
10042,0,1,1,0,7,18,4
10043,0,1,1,0,2,3,30
10044,9,1,1,0,7,3,4
10045,9,1,1,99,7,8,31
10046,9,1,1,99,1,2,4
10047,3,1,1,99,5,0,4
10048,9,1,2,99,7,22,4
10049,18,1,1,100,5,1,21
10050,0,1,1,0,7,4,66
10051,9,1,1,99,1,14,4
10052,9,1,1,99,2,4,14
10053,0,1,1,0,1,17,4
10054,0,1,1,0,3,17,88
10055,9,1,1,99,4,2,99
10056,0,1,1,99,1,2,4
10057,3,1,1,99,4,17,66
10058,0,1,1,99,1,14,80
10059,0,1,1,0,3,22,31
10060,0,1,1,99,3,17,4
10061,3,1,1,0,6,21,31
10062,0,1,1,99,7,10,31
10063,9,1,1,0,1,3,4
10064,0,1,1,0,4,0,31
10065,3,1,1,99,7,10,4
10066,9,1,1,99,1,1,2
10067,0,1,1,99,4,11,4
10068,3,1,1,99,1,18,31
10069,0,1,1,0,1,21,31
10070,4,1,1,99,1,3,31
10071,4,1,1,0,6,22,14
10072,0,1,1,0,1,19,4
10073,0,1,1,0,6,23,5
10074,0,1,1,99,2,5,14
10075,0,1,1,99,3,18,4
10076,3,1,1,0,6,10,31
10077,0,1,1,0,2,18,14
10078,9,1,1,99,3,15,63
10079,0,1,1,99,7,4,31
10080,3,1,1,0,3,15,4
10081,3,1,1,0,6,12,6
10082,0,1,1,99,3,21,14
10083,3,1,>2,0,1,3,15
10084,3,1,1,0,1,10,31
10085,0,1,1,99,1,13,14
10086,0,1,1,198,1,17,31
10087,4,1,2,0,3,12,4
10088,0,1,1,0,3,19,4
10089,9,1,1,99,3,18,4
10090,9,1,1,0,5,18,31
10091,0,1,1,0,3,10,4
10092,0,1,1,0,1,19,6
10093,4,1,2,0,2,5,2
10094,0,1,1,99,6,20,4
10095,9,1,>2,891,2,8,66
10096,3,1,1,0,6,13,2
10097,18,1,2,198,4,7,30
10098,0,1,1,0,7,19,14
10099,0,1,1,99,4,11,92
10101,3,1,1,99,7,4,4
10102,4,1,1,99,7,3,4
10103,3,1,1,3,7,1,31
10104,0,1,2,198,5,15,4
10105,0,1,1,99,6,99,5
10106,4,1,1,99,2,23,4
10107,0,1,1,0,6,0,4
10108,0,1,1,99,6,19,4
10109,0,1,1,0,7,10,4
10110,0,1,1,0,7,16,80
10111,3,1,1,0,2,22,31
10112,0,1,1,99,7,1,4
10113,0,1,1,0,7,20,14
10114,9,1,1,99,4,22,4
10115,0,1,1,0,6,23,15
10116,0,1,1,0,7,21,66
10117,8,1,1,16,4,19,14
10118,9,1,1,99,1,4,4
10119,0,1,1,0,1,20,4
10120,4,1,1,99,3,13,2
10121,3,1,1,0,1,14,80
10122,0,1,1,0,3,11,14
10123,0,1,1,0,2,7,31
10124,0,1,1,0,2,10,14
10125,0,1,2,99,3,15,31
