SPEEDREL,STATE,FATALS,MDRDSTRD,DAY_WEEK,ST_CASE
0,1,1,99,5,10001
4,1,1,0,5,10002
0,1,1,0,5,10003
0,1,1,99,1,10004
0,1,1,99,4,10005
0,1,1,0,5,10006
0,1,1,0,5,10007
9,1,1,99,7,10008
0,1,1,99,3,10009
0,1,1,99,2,10010
0,1,1,0,4,10011
0,1,1,0,6,10012
3,1,1,99,7,10013
0,1,1,99,1,10014
3,1,1,99,1,10015
0,1,1,0,3,10016
0,1,1,0,4,10017
0,1,1,0,6,10018
3,1,1,99,2,10019
0,1,1,99,5,10020
0,1,1,92,6,10021
0,1,1,0,2,10022
3,1,1,0,2,10023
0,1,1,0,6,10024
3,1,2,0,5,10025
3,1,1,0,3,10026
0,1,1,99,7,10027
0,1,1,0,7,10028
4,1,1,0,6,10029
3,1,>2,0,7,10030
0,1,1,12,7,10031
3,1,1,99,1,10032
0,1,2,99,6,10033
0,1,1,99,5,10034
9,1,1,99,4,10035
0,1,2,0,2,10036
0,1,1,0,2,10037
0,1,1,99,3,10038
9,1,1,99,5,10039
0,1,1,15,3,10040
0,1,1,0,4,10041
0,1,1,0,7,10042
0,1,1,0,2,10043
9,1,1,0,7,10044
9,1,1,99,7,10045
9,1,1,99,1,10046
3,1,1,99,5,10047
9,1,2,99,7,10048
18,1,1,100,5,10049
0,1,1,0,7,10050
9,1,1,99,1,10051
9,1,1,99,2,10052
0,1,1,0,1,10053
0,1,1,0,3,10054
9,1,1,99,4,10055
0,1,1,99,1,10056
3,1,1,99,4,10057
0,1,1,99,1,10058
0,1,1,0,3,10059
0,1,1,99,3,10060
3,1,1,0,6,10061
0,1,1,99,7,10062
9,1,1,0,1,10063
0,1,1,0,4,10064
3,1,1,99,7,10065
9,1,1,99,1,10066
0,1,1,99,4,10067
3,1,1,99,1,10068
0,1,1,0,1,10069
4,1,1,99,1,10070
4,1,1,0,6,10071
0,1,1,0,1,10072
0,1,1,0,6,10073
0,1,1,99,2,10074
0,1,1,99,3,10075
3,1,1,0,6,10076
0,1,1,0,2,10077
9,1,1,99,3,10078
0,1,1,99,7,10079
3,1,1,0,3,10080
3,1,1,0,6,10081
0,1,1,99,3,10082
3,1,>2,0,1,10083
3,1,1,0,1,10084
0,1,1,99,1,10085
0,1,1,198,1,10086
4,1,2,0,3,10087
0,1,1,0,3,10088
9,1,1,99,3,10089
9,1,1,0,5,10090
0,1,1,0,3,10091
0,1,1,0,1,10092
4,1,2,0,2,10093
0,1,1,99,6,10094
9,1,>2,891,2,10095
3,1,1,0,6,10096
18,1,2,198,4,10097
0,1,1,0,7,10098
0,1,1,99,4,10099
3,1,1,99,7,10101
4,1,1,99,7,10102
3,1,1,3,7,10103
0,1,2,198,5,10104
0,1,1,99,6,10105
4,1,1,99,2,10106
0,1,1,0,6,10107
0,1,1,99,6,10108
0,1,1,0,7,10109
0,1,1,0,7,10110
3,1,1,0,2,10111
0,1,1,99,7,10112
0,1,1,0,7,10113
9,1,1,99,4,10114
0,1,1,0,6,10115
0,1,1,0,7,10116
8,1,1,16,4,10117
9,1,1,99,1,10118
0,1,1,0,1,10119
4,1,1,99,3,10120
3,1,1,0,1,10121
0,1,1,0,3,10122
0,1,1,0,2,10123
0,1,1,0,2,10124
0,1,2,99,3,10125
0,1,1,0,5,10126
0,1,2,198,6,10127
4,1,1,99,6,10128
0,1,1,0,3,10129
0,1,1,0,3,10130
0,1,1,0,3,10131
0,1,1,0,5,10132
9,1,1,198,5,10133
0,1,1,0,6,10134
3,1,1,99,6,10135
0,1,1,99,7,10136
9,1,1,99,2,10137
0,1,1,99,6,10138
0,1,1,99,6,10139
0,1,1,99,7,10140
0,1,1,99,5,10141
0,1,2,0,7,10142
9,1,1,0,2,10143
9,1,1,198,3,10144
0,1,1,99,3,10145
18,1,1,198,7,10146
3,1,1,99,4,10147
0,1,1,0,6,10148
3,1,1,0,6,10149
0,1,1,99,1,10150
0,1,1,99,7,10151
0,1,1,99,2,10152
0,1,1,99,2,10153
0,1,1,0,2,10154
9,1,1,99,2,10155
9,1,1,0,6,10156
0,1,1,99,6,10157
0,1,1,0,2,10158
0,1,1,99,5,10159
0,1,1,0,7,10160
0,1,1,0,2,10161
9,1,1,99,5,10162
0,1,1,0,7,10163
3,1,1,99,2,10164
4,1,2,99,2,10165
3,1,1,99,6,10166
3,1,1,15,7,10167
0,1,1,0,1,10168
0,1,1,99,2,10169
0,1,1,0,4,10170
9,1,1,0,5,10171
0,1,1,0,6,10172
0,1,1,99,7,10173
0,1,1,10,4,10174
3,1,1,99,4,10175
0,1,1,99,5,10176
0,1,1,99,5,10177
9,1,1,99,7,10178
0,1,1,0,7,10179
0,1,2,0,7,10180
3,1,1,15,1,10181
3,1,1,0,1,10182
9,1,1,0,6,10183
3,1,1,0,3,10184
0,1,1,0,4,10185
3,1,1,0,6,10186
3,1,1,99,6,10187
0,1,1,99,7,10188
0,1,1,0,1,10189
3,1,1,0,4,10190
0,1,1,0,7,10191
9,1,1,99,3,10192
0,1,1,0,6,10193
0,1,1,0,6,10194
3,1,2,0,4,10195
0,1,1,99,6,10196
9,1,1,198,7,10197
0,1,1,0,2,10198
0,1,2,0,2,10199
0,1,1,0,4,10200
3,1,1,99,5,10201
0,1,1,99,5,10202
3,1,1,0,7,10203
3,1,1,99,6,10204
0,1,1,0,3,10205
0,1,1,0,5,10206
4,1,1,99,5,10207
0,1,1,99,2,10208
0,1,1,92,5,10209
4,1,1,99,7,10210
0,1,1,0,5,10211
0,1,1,99,5,10212
3,1,2,0,5,10213
0,1,1,0,5,10214
9,1,1,0,7,10215
0,1,1,0,1,10216
3,1,1,0,2,10217
0,1,1,0,2,10218
0,1,2,99,2,10219
0,1,1,98,2,10220
3,1,1,0,3,10221
0,1,2,0,4,10222
0,1,1,99,6,10223
0,1,1,0,2,10224
0,1,1,99,5,10225
0,1,1,99,6,10226
0,1,1,99,6,10227
0,1,1,0,1,10228
0,1,1,99,2,10229
9,1,1,0,1,10230
0,1,1,0,7,10231
0,1,1,99,2,10232
0,1,1,0,5,10233
0,1,1,0,2,10234
9,1,1,99,6,10235
3,1,1,99,7,10236
3,1,1,99,1,10237
3,1,1,99,1,10238
0,1,1,3,7,10239
0,1,1,99,2,10240
0,1,1,0,2,10241
3,1,1,99,1,10242
0,1,1,0,7,10243
0,1,1,99,5,10244
0,1,1,99,5,10245
0,1,1,99,5,10246
9,1,1,99,6,10247
0,1,1,99,6,10248
3,1,1,0,2,10249
0,1,1,15,2,10250
3,1,1,0,2,10251
0,1,1,0,4,10252
9,1,1,99,4,10253
0,1,1,0,4,10254
3,1,1,99,4,10255
9,1,1,99,4,10256
3,1,1,99,5,10257
0,1,1,99,5,10258
3,1,1,99,6,10259
3,1,1,0,6,10260
3,1,1,99,1,10261
9,1,1,99,1,10262
4,1,1,0,2,10263
0,1,1,0,4,10264
0,1,1,99,4,10265
0,1,1,6,3,10266
0,1,1,0,2,10267
0,1,1,0,4,10268
0,1,1,92,5,10269
0,1,1,99,6,10270
0,1,1,0,6,10271
0,1,1,0,1,10272
0,1,1,99,7,10273
0,1,1,0,1,10274
0,1,1,0,1,10275
3,1,1,0,1,10276
0,1,1,99,4,10277
9,1,1,99,5,10278
4,1,1,0,5,10279
3,1,1,99,2,10280
3,1,1,99,3,10281
0,1,1,99,3,10282
9,1,1,0,7,10283
0,1,1,99,5,10284
0,1,1,12,5,10285
3,1,1,99,7,10286
0,1,1,99,2,10287
3,1,1,99,7,10288
3,1,1,0,3,10289
0,1,2,12,4,10290
9,1,1,99,4,10291
0,1,1,0,6,10292
0,1,1,0,7,10293
3,1,1,0,2,10294
0,1,1,99,2,10295
9,1,1,99,3,10296
0,1,2,99,4,10297
0,1,1,0,5,10298
0,1,1,0,6,10299
9,1,1,99,1,10300
0,1,1,99,6,10301
0,1,1,0,3,10302
3,1,1,198,1,10303
3,1,1,0,7,10304
0,1,1,0,6,10305
0,1,1,0,1,10306
3,1,1,99,2,10307
9,1,2,99,1,10308
0,1,1,99,6,10309
9,1,1,99,7,10310
3,1,1,99,1,10311
0,1,1,99,7,10312
9,1,1,99,3,10313
0,1,1,99,1,10314
0,1,1,0,2,10315
3,1,2,0,5,10316
4,1,1,0,4,10317
0,1,1,0,4,10318
0,1,1,0,3,10319
0,1,1,1,4,10320
0,1,1,0,4,10321
0,1,1,0,7,10322
3,1,1,98,1,10323
9,1,1,0,1,10324
0,1,1,92,3,10325
3,1,1,0,5,10326
0,1,1,0,5,10327
3,1,1,99,6,10328
9,1,1,99,6,10329
0,1,1,0,6,10330
0,1,1,0,6,10331
9,1,1,99,5,10332
4,1,1,0,7,10333
4,1,1,99,7,10334
3,1,1,0,1,10335
3,1,1,0,1,10336
0,1,1,0,4,10337
9,1,1,0,5,10338
0,1,1,0,5,10339
3,1,1,0,5,10340
3,1,1,99,7,10341
0,1,1,99,6,10342
0,1,1,92,5,10343
9,1,1,0,4,10344
4,1,1,0,3,10345
0,1,1,99,7,10346
0,1,1,99,5,10347
3,1,>2,92,1,10348
0,1,1,1,4,10349
9,1,1,0,2,10350
3,1,1,99,4,10351
0,1,1,0,5,10352
3,1,1,99,5,10353
4,1,1,99,7,10354
3,1,1,0,7,10355
