ST_CASE,DAY_WEEK,HOUR,BODY_TYP,FATAL_LEVEL,WEATHER,FATAL_COUNT,BODY_TYP2,STATE,SPEEDREL,MDRDSTRD,SPEEDREL2,MDRDSTRD2
10002,5,22,4,1,10,1,1,1,4,0,1,0
10003,5,1,4,1,1,1,1,1,0,0,0,0
10005,4,7,3,1,1,1,1,1,0,99,0,0
10010,2,18,4,1,1,1,1,1,0,99,0,0
10011,4,20,4,1,1,1,1,1,0,0,0,0
10013,7,10,4,1,1,1,1,1,3,99,1,0
10017,4,14,4,1,10,1,1,1,0,0,0,0
10020,5,17,4,1,2,1,1,1,0,99,0,0
10024,6,6,4,1,1,1,1,1,0,0,0,0
10026,3,13,4,1,10,1,1,1,3,0,1,0
10027,7,14,5,1,1,1,1,1,0,99,0,0
10032,1,6,1,1,1,1,1,1,3,99,1,0
10037,2,14,4,1,1,1,1,1,0,0,0,0
10040,3,15,4,1,1,1,1,1,0,15,0,1
10042,7,18,4,1,1,1,1,1,0,0,0,0
10044,7,3,4,1,1,1,1,1,9,0,1,0
10046,1,2,4,1,1,1,1,1,9,99,1,0
10047,5,0,4,1,1,1,1,1,3,99,1,0
10051,1,14,4,1,2,1,1,1,9,99,1,0
10053,1,17,4,1,2,1,1,1,0,0,0,0
10056,1,2,4,1,1,1,1,1,0,99,0,0
10060,3,17,4,1,10,1,1,1,0,99,0,0
10063,1,3,4,1,1,1,1,1,9,0,1,0
10065,7,10,4,1,1,1,1,1,3,99,1,0
10066,1,1,2,1,10,1,1,1,9,99,1,0
10067,4,11,4,1,1,1,1,1,0,99,0,0
10072,1,19,4,1,1,1,1,1,0,0,0,0
10073,6,23,5,1,1,1,1,1,0,0,0,0
10075,3,18,4,1,1,1,1,1,0,99,0,0
10080,3,15,4,1,1,1,1,1,3,0,1,0
10081,6,12,6,1,4,1,1,1,3,0,1,0
10088,3,19,4,1,2,1,1,1,0,0,0,0
10089,3,18,4,1,1,1,1,1,9,99,1,0
10091,3,10,4,1,1,1,1,1,0,0,0,0
10092,1,19,6,1,1,1,1,1,0,0,0,0
10094,6,20,4,1,1,1,1,1,0,99,0,0
10096,6,13,2,1,1,1,1,1,3,0,1,0
10101,7,4,4,1,1,1,1,1,3,99,1,0
10102,7,3,4,1,2,1,1,1,4,99,1,0
10106,2,23,4,1,2,1,1,1,4,99,1,0
10107,6,0,4,1,2,1,1,1,0,0,0,0
10108,6,19,4,1,2,1,1,1,0,99,0,0
10109,7,10,4,1,5,1,1,1,0,0,0,0
10112,7,1,4,1,1,1,1,1,0,99,0,0
10114,4,22,4,1,1,1,1,1,9,99,1,0
10118,1,4,4,1,1,1,1,1,9,99,1,0
10119,1,20,4,1,10,1,1,1,0,0,0,0
10120,3,13,2,1,10,1,1,1,4,99,1,0
10129,3,7,4,1,1,1,1,1,0,0,0,0
10131,3,19,4,1,1,1,1,1,0,0,0,0
10132,5,4,4,1,1,1,1,1,0,0,0,0
10134,6,23,2,1,10,1,1,1,0,0,0,0
10135,6,21,4,1,10,1,1,1,3,99,1,0
10137,2,19,4,1,1,1,1,1,9,99,1,0
10138,6,19,4,1,1,1,1,1,0,99,0,0
10139,6,11,3,1,10,1,1,1,0,99,0,0
10143,2,0,4,1,1,1,1,1,9,0,1,0
10146,7,20,4,1,1,1,1,1,18,198,1,1
10151,7,15,2,1,1,1,1,1,0,99,0,0
10155,2,20,2,1,1,1,1,1,9,99,1,0
10158,2,17,4,1,2,1,1,1,0,0,0,0
10159,5,11,4,1,1,1,1,1,0,99,0,0
10160,7,22,2,1,1,1,1,1,0,0,0,0
10161,2,15,5,1,1,1,1,1,0,0,0,0
10163,7,5,4,1,10,1,1,1,0,0,0,0
10164,2,14,2,1,1,1,1,1,3,99,1,0
10166,6,3,2,1,10,1,1,1,3,99,1,0
10167,7,23,2,1,10,1,1,1,3,15,1,1
10169,2,12,2,1,2,1,1,1,0,99,0,0
10173,7,23,4,1,1,1,1,1,0,99,0,0
10174,4,5,4,1,1,1,1,1,0,10,0,1
10177,5,20,4,1,2,1,1,1,0,99,0,0
10182,1,9,4,1,10,1,1,1,3,0,1,0
10183,6,20,4,1,10,1,1,1,9,0,1,0
10185,4,14,4,1,1,1,1,1,0,0,0,0
10192,3,8,4,1,1,1,1,1,9,99,1,0
10198,2,9,4,1,1,1,1,1,0,0,0,0
10203,7,0,4,1,10,1,1,1,3,0,1,0
10205,3,0,5,1,1,1,1,1,0,0,0,0
10207,5,20,4,1,2,1,1,1,4,99,1,0
10208,2,23,4,1,10,1,1,1,0,99,0,0
10217,2,0,4,1,1,1,1,1,3,0,1,0
10220,2,19,2,1,1,1,1,1,0,98,0,1
10225,5,22,6,1,1,1,1,1,0,99,0,0
10229,2,6,4,1,1,1,1,1,0,99,0,0
10230,1,9,4,1,1,1,1,1,9,0,1,0
10232,2,20,4,1,1,1,1,1,0,99,0,0
10237,1,2,4,1,1,1,1,1,3,99,1,0
10241,2,12,4,1,1,1,1,1,0,0,0,0
10242,1,0,4,1,1,1,1,1,3,99,1,0
10248,6,9,6,1,1,1,1,1,0,99,0,0
10253,4,6,3,1,1,1,1,1,9,99,1,0
10263,2,11,4,1,2,1,1,1,4,0,1,0
10264,4,22,4,1,1,1,1,1,0,0,0,0
10266,3,14,4,1,1,1,1,1,0,6,0,1
10268,4,9,2,1,10,1,1,1,0,0,0,0
10269,5,18,4,1,1,1,1,1,0,92,0,1
10270,6,20,4,1,10,1,1,1,0,99,0,0
10276,1,19,4,1,1,1,1,1,3,0,1,0
10277,4,17,4,1,1,1,1,1,0,99,0,0
10278,5,3,4,1,10,1,1,1,9,99,1,0
10279,5,13,1,1,2,1,1,1,4,0,1,0
10283,7,5,4,1,1,1,1,1,9,0,1,0
10284,5,12,4,1,1,1,1,1,0,99,0,0
10286,7,14,4,1,1,1,1,1,3,99,1,0
10288,7,19,4,1,1,1,1,1,3,99,1,0
10289,3,21,4,1,1,1,1,1,3,0,1,0
10300,1,2,4,1,1,1,1,1,9,99,1,0
10302,3,2,4,1,1,1,1,1,0,0,0,0
10303,1,2,4,1,1,1,1,1,3,198,1,1
10304,7,20,4,1,10,1,1,1,3,0,1,0
10306,1,15,4,1,1,1,1,1,0,0,0,0
10307,2,12,4,1,1,1,1,1,3,99,1,0
10309,6,5,4,1,1,1,1,1,0,99,0,0
10311,1,2,4,1,10,1,1,1,3,99,1,0
10314,1,17,4,1,1,1,1,1,0,99,0,0
10315,2,18,4,1,1,1,1,1,0,0,0,0
10317,4,14,4,1,2,1,1,1,4,0,1,0
10318,4,2,4,1,10,1,1,1,0,0,0,0
10321,4,17,4,1,1,1,1,1,0,0,0,0
10322,7,12,2,1,1,1,1,1,0,0,0,0
10329,6,5,4,1,1,1,1,1,9,99,1,0
10333,7,17,4,1,2,1,1,1,4,0,1,0
10334,7,13,4,1,10,1,1,1,4,99,1,0
10338,5,7,4,1,1,1,1,1,9,0,1,0
10340,5,11,4,1,10,1,1,1,3,0,1,0
10342,6,18,4,1,10,1,1,1,0,99,0,0
10347,5,10,4,1,1,1,1,1,0,99,0,0
10350,2,22,4,1,1,1,1,1,9,0,1,0
10352,5,18,4,1,1,1,1,1,0,0,0,0
10355,7,19,5,1,10,1,1,1,3,0,1,0
10356,1,2,4,1,10,1,1,1,0,99,0,0
10357,3,22,4,1,1,1,1,1,0,0,0,0
10361,5,23,4,1,1,1,1,1,3,99,1,0
10362,3,3,4,1,1,1,1,1,9,99,1,0
10364,4,5,4,1,1,1,1,1,0,0,0,0
10371,3,10,4,1,1,1,1,1,0,99,0,0
10374,6,17,4,1,1,1,1,1,0,6,0,1
10376,4,7,4,1,5,1,1,1,0,0,0,0
10379,5,15,4,1,10,1,1,1,3,0,1,0
10380,4,0,4,1,1,1,1,1,9,12,1,1
10384,3,17,4,1,1,1,1,1,0,99,0,0
10385,4,10,4,1,1,1,1,1,0,0,0,0
10386,5,17,4,1,2,1,1,1,4,0,1,0
10387,5,19,2,1,1,1,1,1,4,99,1,0
10388,6,17,3,1,2,1,1,1,4,0,1,0
10389,1,1,4,1,1,1,1,1,0,99,0,0
10390,7,22,2,1,10,1,1,1,3,0,1,0
10391,7,12,4,1,1,1,1,1,0,99,0,0
10397,1,5,5,1,1,1,1,1,0,99,0,0
10399,1,19,6,1,1,1,1,1,0,12,0,1
10400,2,15,4,1,1,1,1,1,0,0,0,0
10402,7,6,4,1,1,1,1,1,0,99,0,0
10407,1,21,4,1,1,1,1,1,4,3,1,1
10409,5,19,1,1,2,1,1,1,4,99,1,0
10410,7,12,4,1,1,1,1,1,0,0,0,0
10411,1,9,4,1,1,1,1,1,0,99,0,0
10414,3,5,6,1,1,1,1,1,0,0,0,0
10416,6,17,4,1,1,1,1,1,0,0,0,0
10418,6,22,4,1,10,1,1,1,0,6,0,1
10420,1,4,4,1,1,1,1,1,0,99,0,0
10422,5,20,2,1,1,1,1,1,0,0,0,0
10425,3,14,4,1,1,1,1,1,0,99,0,0
10428,4,19,4,1,2,1,1,1,4,0,1,0
10437,1,16,4,1,10,1,1,1,0,0,0,0
10444,6,23,4,1,1,1,1,1,9,99,1,0
10445,7,4,6,1,10,1,1,1,0,0,0,0
10446,1,11,4,1,1,1,1,1,0,15,0,1
10450,7,13,4,1,1,1,1,1,2,0,1,0
10452,1,4,4,1,1,1,1,1,3,99,1,0
10453,6,7,2,1,1,1,1,1,3,99,1,0
10454,3,12,4,1,10,1,1,1,4,0,1,0
10459,7,2,3,1,10,1,1,1,3,99,1,0
10460,3,10,4,1,2,1,1,1,4,99,1,0
10463,5,9,3,1,1,1,1,1,0,99,0,0
10467,7,12,6,1,10,1,1,1,0,0,0,0
10469,1,15,4,1,1,1,1,1,0,99,0,0
10471,2,3,4,1,1,1,1,1,0,0,0,0
10472,3,7,4,1,1,1,1,1,0,0,0,0
10480,7,19,4,1,1,1,1,1,9,0,1,0
10482,1,11,4,1,1,1,1,1,0,99,0,0
10483,7,15,4,1,1,1,1,1,0,99,0,0
10485,7,21,4,1,10,1,1,1,3,0,1,0
10487,3,22,4,1,1,1,1,1,0,99,0,0
10492,2,17,5,1,1,1,1,1,0,99,0,0
10493,2,18,4,1,1,1,1,1,3,99,1,0
10495,1,21,4,1,10,1,1,1,3,0,1,0
10500,5,20,4,1,1,1,1,1,0,0,0,0
10502,1,20,6,1,1,1,1,1,0,0,0,0
10504,4,22,4,1,1,1,1,1,3,0,1,0
10505,5,9,5,1,1,1,1,1,0,99,0,0
10506,5,17,4,1,1,1,1,1,9,0,1,0
10507,1,23,4,1,1,1,1,1,9,99,1,0
10513,2,17,4,1,1,1,1,1,3,99,1,0
10515,4,19,4,1,10,1,1,1,9,99,1,0
10525,5,11,4,1,10,1,1,1,0,0,0,0
10529,5,5,2,1,1,1,1,1,0,0,0,0
10531,1,22,4,1,1,1,1,1,3,0,1,0
10535,5,9,4,1,1,1,1,1,0,0,0,0
10536,6,4,6,1,1,1,1,1,0,99,0,0
10539,5,4,4,1,1,1,1,1,0,99,0,0
10542,5,16,4,1,10,1,1,1,4,99,1,0
10543,7,21,4,1,1,1,1,1,9,99,1,0
10545,2,13,4,1,1,1,1,1,0,99,0,0
10546,4,7,4,1,1,1,1,1,0,92,0,1
10547,4,19,4,1,1,1,1,1,0,0,0,0
10551,7,19,3,1,1,1,1,1,3,99,1,0
10553,1,4,4,1,10,1,1,1,3,99,1,0
10556,5,13,5,1,1,1,1,1,9,99,1,0
10557,5,22,4,1,1,1,1,1,0,99,0,0
10558,6,8,4,1,2,1,1,1,0,99,0,0
10560,7,9,4,1,2,1,1,1,3,99,1,0
10561,1,13,3,1,10,1,1,1,3,0,1,0
10564,5,19,4,1,10,1,1,1,0,0,0,0
10568,7,3,4,1,2,1,1,1,9,99,1,0
10570,1,0,4,1,1,1,1,1,0,99,0,0
10576,4,4,4,1,1,1,1,1,9,0,1,0
10578,6,20,4,1,1,1,1,1,9,0,1,0
10579,3,9,6,1,1,1,1,1,3,0,1,0
10581,3,14,4,1,1,1,1,1,0,99,0,0
10582,5,2,4,1,1,1,1,1,0,0,0,0
10583,4,7,4,1,1,1,1,1,0,99,0,0
10584,1,20,4,1,1,1,1,1,3,0,1,0
10586,5,18,4,1,1,1,1,1,3,0,1,0
10587,2,6,6,1,2,1,1,1,4,99,1,0
10600,3,15,4,1,1,1,1,1,0,0,0,0
10601,5,5,3,1,2,1,1,1,0,198,0,1
10603,6,0,4,1,1,1,1,1,0,3,0,1
10604,5,17,4,1,1,1,1,1,0,99,0,0
10606,1,22,4,1,1,1,1,1,9,99,1,0
10614,7,5,4,1,1,1,1,1,0,198,0,1
