ST_CASE,DAY_WEEK,HOUR,BODY_TYP,FATAL_LEVEL,WEATHER,FATAL_COUNT,BODY_TYP2
10002,5,22,4,1,10,1,1
10003,5,1,4,1,1,1,1
10005,4,7,3,1,1,1,1
10010,2,18,4,1,1,1,1
10011,4,20,4,1,1,1,1
10013,7,10,4,1,1,1,1
10017,4,14,4,1,10,1,1
10020,5,17,4,1,2,1,1
10024,6,6,4,1,1,1,1
10026,3,13,4,1,10,1,1
10027,7,14,5,1,1,1,1
10032,1,6,1,1,1,1,1
10037,2,14,4,1,1,1,1
10040,3,15,4,1,1,1,1
10042,7,18,4,1,1,1,1
10044,7,3,4,1,1,1,1
10046,1,2,4,1,1,1,1
10047,5,0,4,1,1,1,1
10051,1,14,4,1,2,1,1
10053,1,17,4,1,2,1,1
10056,1,2,4,1,1,1,1
10060,3,17,4,1,10,1,1
10063,1,3,4,1,1,1,1
10065,7,10,4,1,1,1,1
10066,1,1,2,1,10,1,1
10067,4,11,4,1,1,1,1
10072,1,19,4,1,1,1,1
10073,6,23,5,1,1,1,1
10075,3,18,4,1,1,1,1
10080,3,15,4,1,1,1,1
10081,6,12,6,1,4,1,1
10088,3,19,4,1,2,1,1
10089,3,18,4,1,1,1,1
10091,3,10,4,1,1,1,1
10092,1,19,6,1,1,1,1
10094,6,20,4,1,1,1,1
10096,6,13,2,1,1,1,1
10101,7,4,4,1,1,1,1
10102,7,3,4,1,2,1,1
10106,2,23,4,1,2,1,1
10107,6,0,4,1,2,1,1
10108,6,19,4,1,2,1,1
10109,7,10,4,1,5,1,1
10112,7,1,4,1,1,1,1
10114,4,22,4,1,1,1,1
10118,1,4,4,1,1,1,1
10119,1,20,4,1,10,1,1
10120,3,13,2,1,10,1,1
10129,3,7,4,1,1,1,1
10131,3,19,4,1,1,1,1
10132,5,4,4,1,1,1,1
10134,6,23,2,1,10,1,1
10135,6,21,4,1,10,1,1
10137,2,19,4,1,1,1,1
10138,6,19,4,1,1,1,1
10139,6,11,3,1,10,1,1
10143,2,0,4,1,1,1,1
10146,7,20,4,1,1,1,1
10151,7,15,2,1,1,1,1
10155,2,20,2,1,1,1,1
10158,2,17,4,1,2,1,1
10159,5,11,4,1,1,1,1
10160,7,22,2,1,1,1,1
10161,2,15,5,1,1,1,1
10163,7,5,4,1,10,1,1
10164,2,14,2,1,1,1,1
10166,6,3,2,1,10,1,1
10167,7,23,2,1,10,1,1
10169,2,12,2,1,2,1,1
10173,7,23,4,1,1,1,1
10174,4,5,4,1,1,1,1
10177,5,20,4,1,2,1,1
10182,1,9,4,1,10,1,1
10183,6,20,4,1,10,1,1
10185,4,14,4,1,1,1,1
10192,3,8,4,1,1,1,1
10198,2,9,4,1,1,1,1
10203,7,0,4,1,10,1,1
10205,3,0,5,1,1,1,1
10207,5,20,4,1,2,1,1
10208,2,23,4,1,10,1,1
10217,2,0,4,1,1,1,1
10220,2,19,2,1,1,1,1
10225,5,22,6,1,1,1,1
10229,2,6,4,1,1,1,1
10230,1,9,4,1,1,1,1
10232,2,20,4,1,1,1,1
10237,1,2,4,1,1,1,1
10241,2,12,4,1,1,1,1
10242,1,0,4,1,1,1,1
10248,6,9,6,1,1,1,1
10253,4,6,3,1,1,1,1
10263,2,11,4,1,2,1,1
10264,4,22,4,1,1,1,1
10266,3,14,4,1,1,1,1
10268,4,9,2,1,10,1,1
10269,5,18,4,1,1,1,1
10270,6,20,4,1,10,1,1
10276,1,19,4,1,1,1,1
10277,4,17,4,1,1,1,1
10278,5,3,4,1,10,1,1
10279,5,13,1,1,2,1,1
10283,7,5,4,1,1,1,1
10284,5,12,4,1,1,1,1
10286,7,14,4,1,1,1,1
10288,7,19,4,1,1,1,1
10289,3,21,4,1,1,1,1
10300,1,2,4,1,1,1,1
10302,3,2,4,1,1,1,1
10303,1,2,4,1,1,1,1
10304,7,20,4,1,10,1,1
10306,1,15,4,1,1,1,1
10307,2,12,4,1,1,1,1
10309,6,5,4,1,1,1,1
10311,1,2,4,1,10,1,1
10314,1,17,4,1,1,1,1
10315,2,18,4,1,1,1,1
10317,4,14,4,1,2,1,1
10318,4,2,4,1,10,1,1
10321,4,17,4,1,1,1,1
10322,7,12,2,1,1,1,1
10329,6,5,4,1,1,1,1
10333,7,17,4,1,2,1,1
10334,7,13,4,1,10,1,1
10338,5,7,4,1,1,1,1
10340,5,11,4,1,10,1,1
10342,6,18,4,1,10,1,1
10347,5,10,4,1,1,1,1
10350,2,22,4,1,1,1,1
10352,5,18,4,1,1,1,1
10355,7,19,5,1,10,1,1
10356,1,2,4,1,10,1,1
10357,3,22,4,1,1,1,1
10361,5,23,4,1,1,1,1
10362,3,3,4,1,1,1,1
10364,4,5,4,1,1,1,1
10371,3,10,4,1,1,1,1
10374,6,17,4,1,1,1,1
10376,4,7,4,1,5,1,1
10379,5,15,4,1,10,1,1
